t,S_p,L_p,I_p,S_v,I_v
0.0,97.0,1.0,2.0,3.0,4.0
1.0,3.0309739960328264,66.48639786718702,29.332816137949806,1.4443279391720423,2.4540951646334914
2.0,3.7421492922943926,55.565286987109694,38.65538292860016,0.6719441700527328,1.7553700362902638
3.0,4.7367927155909655,50.9018003838047,41.081522441878114,0.29700910042344586,1.19778863871769
4.0,6.168700921402312,47.846738992612494,41.07643615735768,0.14126780421640242,0.8453876871048469
5.0,8.283438355187801,45.145418622366805,40.04313000599994,0.07109588082487787,0.5933625199532291
6.0,10.898304768529732,42.381363580869355,38.534061584955275,0.03946510355379099,0.4187352579615814
7.0,14.34579416056344,39.7649482172682,36.54270025800842,0.025547419572613913,0.31000757279923574
8.0,17.40523174874852,36.408966176115655,34.299356445581395,0.019207623438439108,0.23201837722500465
9.0,20.5750891633962,33.959199474243185,32.07351862875862,0.01676070248654769,0.19770240956662946
10.0,24.930935822114442,31.79679188050233,30.183843143703793,0.015421949370465735,0.1643148677795873
11.0,28.61228201083891,30.664460141601904,28.264406903044602,0.014477112085494463,0.14452803307019924
12.0,31.26438422438038,29.149325355984857,27.088550360103408,0.01430858021737709,0.12748932890069556
13.0,34.0280816701985,28.222645086729052,25.774603429263777,0.01424685570766973,0.11894290674119673
14.0,35.743577211919465,27.73743007549201,24.955574682950903,0.014399039131826614,0.11607383973012565
15.0,38.04823446495398,27.159172577714905,24.10374100148963,0.014776185308192677,0.11451036217626329
16.0,39.058609881090064,26.571298716464753,23.7868797387598,0.014834967429400943,0.10922156795985082
17.0,39.83556573289489,26.12589878063381,23.197669389014376,0.01451769667794941,0.10524224967353266
18.0,40.9610046795126,25.950886772316306,22.88872019339627,0.01490469804107337,0.1059715170706774
19.0,40.76637199362804,26.024043938919952,22.59740232791568,0.014787616908474048,0.10166892656022772
20.0,41.89155256766551,26.13625263461513,22.501128701811798,0.014950882907456395,0.10246364614152333
21.0,42.27333119024252,25.405345623322567,22.265704454457623,0.014626412698932306,0.10146558986771698
22.0,42.31713169145933,25.9936908348637,22.35495386335269,0.014875122311195836,0.10234321985221692
23.0,42.70480428743157,25.402754934469225,22.139520374736392,0.014564871678905243,0.09957456715262583
24.0,43.15477157367587,25.544403890557724,22.10395010727475,0.014768528970687065,0.100758858805364
25.0,42.622242241659094,25.450836347186243,22.07544469215057,0.014969122673529199,0.10219128848167106
26.0,42.48202046600221,25.29191548006096,21.945139114871942,0.015197754201169943,0.10278767678868753
27.0,42.41490018727329,25.87640713403362,22.089297794089212,0.01517015982998851,0.1021697810556631
28.0,41.764545221729094,26.03373722956788,22.202913398561734,0.015240259462789766,0.10204978187012619
29.0,41.62397811413279,25.669656379867668,22.150805516558073,0.014920377974434977,0.1018569568546979
30.0,41.213108977793894,25.860392127576223,22.19407970466721,0.014643661106053958,0.09916449277266479
31.0,41.621673873021045,25.453918308684997,22.357448470709386,0.01484720344604766,0.09901655345350567
32.0,41.6520189759722,25.722447067875834,22.306785851792384,0.015039697266356598,0.10104163052479774
33.0,42.04689200430541,25.528351232634904,22.09068262643686,0.01488358819751976,0.10091090600106883
34.0,41.75066784858198,26.07203829622256,22.156080475807634,0.015105983873209916,0.10292794650392988
35.0,42.677203974209895,25.826686658259383,22.132492189596647,0.014860181490794117,0.1006195665913089
36.0,42.57123824371517,26.303991393645397,22.14248962006177,0.015254412820077508,0.10309754472574867
37.0,41.99158920062156,26.20454889138632,22.269907655923824,0.015149088533992336,0.10472328511753243
38.0,41.658670398157724,26.1607558148812,22.24878430897969,0.015026913831469103,0.10285882694074613
39.0,41.73077072991597,25.931102647053805,22.31358412143947,0.014993522033709373,0.10138522057882128
40.0,41.5520514239541,25.652842382058,22.44534380821286,0.014938617346709437,0.1013979930533716
41.0,41.69442760252316,25.557509070897815,22.27212477159412,0.014947949880213625,0.10215773519148741
42.0,42.039226462471525,25.824302092531212,22.164803704780173,0.014936126241220753,0.10082092817581736
43.0,42.079242957944224,25.763758335592836,22.18905074077926,0.015017524443765383,0.10275638509439992
44.0,42.14060716276224,25.65533116029994,22.255577782993846,0.014836180928343913,0.10080939690777266
45.0,42.23539638878208,25.904937711050643,22.059034480825396,0.015100893078419752,0.10101076358959424
46.0,41.694939610294824,25.48036409262408,22.105769274191744,0.014950805432812188,0.10050982880843565
47.0,41.94561228087638,25.846957674334607,22.196300562857758,0.015079113083543668,0.10226068354841464
48.0,41.99171321897429,25.626634482738453,22.122229239052114,0.015154844696537509,0.10234179319426104
49.0,42.256502850935384,26.058336719480522,22.094863002698958,0.01490439803009191,0.10249325257823803
50.0,41.65601153694836,26.00879695468724,22.415281433815846,0.015365069764351015,0.10507357885534553
